,id,image,ing,prediction
52,018ec6b213,0c986950b6.jpg,"eggplant,peeled,Cooking spray,salt,divided,freshly ground black pepper,divided,chopped fennel bulb,finely chopped yellow onion,trimmed arugula,balsamic vinegar,extravirgin olive oil,cherry tomatoes,crumbled goat cheese,chopped basil,chopped thyme",<start> red bell peppers red bell peppers red bell pepper seeded chopped olive oil balsamic vinegar salt freshly ground black pepper taste olive oil balsamic vinegar <end>
98,02817b4586,00a8760cc7.jpg,",shortening,sugar,eggs,room temperature,butter flavored extract,red food coloring,unsweetened cocoa powder,buttermilk,room temperature,salt,sifted flour,vinegar,baking soda,Cream Cheese,butter,room temperature,cream cheese,room temperature,sugar,sifted,vanilla extract",<start> butter softened eggs vanilla extract baking soda salt ground cinnamon ground nutmeg ground nutmeg butter softened cream cheese softened vanilla extract <end>
130,03745586bb,06da8da8f7.jpg,"brownie mix,cake choice,but best if light in,graham crackers,chocolate syrup,powdered sugar,tub icing best if light in,green sugar sprinkles,clean unused cat litter box,clean new unused cat pooper scooper",<start> butter softened cream cheese softened eggs vanilla extract baking powder salt milk chocolate chips <end>
306,08c1cddbbb,0058614c92.jpg,"Sweetened Grated Coconut,bars Dark Chocolate Bars,Each,Marshmallow Fluff",<start> baking powder baking soda salt ground cinnamon ground nutmeg ground cloves ground nutmeg ground nutmeg ground cloves ground cinnamon ground nutmeg <end>
338,09ef83f925,0560fa7b42.jpg,"Philadelphia Jalapeno Cream Cheese Product,chopped broccoli,cooked,well drained cooled,Cracker Barrel Finely Shredded Cheese Mexicana Cheese,sheets phyllo dough,thawed",<start> baking powder baking soda salt unsalted butter softened egg vanilla extract milk chocolate chips <end>
509,0edc6bacbb,07474a704c.jpg,"cans kernel corn,drained,cream cheese,butter,jalapeno peppers,chopped,garlic salt",<start> olive oil onion chopped cloves garlic minced salt ground black pepper taste shredded cheddar cheese <end>
514,0efc81449a,00764ec6f5.jpg,"sugar,minute tapioca,milk,egg,well beaten,tiny pinch salt,vanilla,added later",<start> fluid jigger liqueur vodka fluid jigger vodka fluid bottle <unk> fluid <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <end>
577,1073652ce1,001858c5ba.jpg,"Oreo cookies whole,coarsely,cream cheese,sugar,vanilla,eggs temperature,lightly,sour cream,pinch salt",<start> baking soda baking powder salt butter softened eggs vanilla extract chocolate chips <end>
855,1955197072,0a9fd421d1.jpg,"soy sauce,teriyaki sauce,dark brown sugar,water,minced garlic",<start> soy sauce teriyaki sauce dark brown garlic powder ground ginger ground ginger ground ginger ground nutmeg <end>
872,19a3a090ba,0c8046015f.jpg,"chopped watermelon,Strawberry Flavor Drink",<start> peach flavor gelatin ice cube <end>
880,19c98f2e90,00cdc369c1.jpg,"navy beans,Dry,quarts water,ham bone,Smoked hock,parsley,Chopped,onion,Finely Chopped,clove garlic,Minced,celery tops,Finely Chopped,salt,pepper",<start> olive oil onion diced cloves garlic minced carrot peeled diced carrots diced celery diced sweet onion diced red bell pepper diced red bell pepper diced garlic cloves minced chili powder cumin powder salt pepper <end>
1028,1ebe32962f,0a4d5bcd06.jpg,"Potatoe,Sour Cream,Half,Heavy,,Ground Beef,Big Onion,Milk",<start> <unk> butter melted butter milk salt baking powder <end>
1105,20ef80a36f,0f2ab1c8c8.jpg,"baby English spinach,ricotta cheese,freshly grated Parmigiano Reggiano cheese,plus extra,serve,grated aged buffalo mozzarella cheese,beaten organic egg,pinch freshly grated nutmeg,taste,pinch fine sea salt,taste,pinch freshly ground black pepper,taste,egg pasta dough,fine semolina,dusting,salted butter,chopped,sage leaves",<start> pounds ground beef onion chopped garlic clove minced olive oil wine vinegar salt pepper taste olive oil <end>
1377,2891a9929a,049098fe56.jpg,"sour cream,green onions,chopped,minced cilantro,minced jalapeno pepper,ground cumin,oil,boneless skinless chicken breasts,x inch strips,minced garlic suit,flour tortillas,shredded cheddar cheese,bottled chunky salsa,tomatoes,chopped",<start> ground beef onion chopped green bell pepper chopped garlic cloves minced tomato paste dried oregano salt pepper taste shredded cheddar cheese <end>
